"","naAromAtom","nAtom","nN","nO","nS","nF","BCUTw.1h","BCUTp.1l","nBondsD","SpMax1_Bhs","SpMax2_Bhs","C2SP1","C1SP2","C2SP2","C3SP2","C1SP3","C4SP3","SCH.7","VC.3","SPC.4","MIC0","nAtomLAC","piPC6","R_TpiPCTPC","n5Ring","n6Ring","nF9Ring","nF10Ring","nFG12Ring","n6HeteroRing","VE3_D","VR1_D","class_label"
"1",18,67,1,1,0,0,15.99492271,6.656434067,0,4.067311331,3.958867643,0,0,13,5,4,0,0.526807571,0.918921352,3.521443846,9.43771274,2,6.220838648,6.373532756,0,5,0,1,0,1,-17.74310325,432.667502,1
"2",24,95,3,9,0,2,18.99942202,4.235250481,5,4.962449672,4.854152966,0,5,18,6,2,0,0.466025838,1.71050476,8.678031268,16.41664419,5,6.607241228,5.225155704,0,4,0,0,0,0,-11.02794227,676.2295521,1
"3",18,101,3,9,0,2,18.99942202,4.235268105,5,5.102219635,5.006018055,0,5,14,4,2,0,0.466025838,1.906409173,8.678031268,16.07884144,5,6.343550854,4.295697662,0,4,0,0,0,0,-11.02794227,676.2295521,1
"4",18,101,3,9,0,2,18.99942202,4.235268105,5,5.102219635,5.006018055,0,5,14,4,2,0,0.466025838,1.906409173,8.678031268,16.07884144,5,6.343550854,4.295697662,0,4,0,0,0,0,-11.02794227,676.2295521,2
"5",10,96,3,9,0,0,16.00300785,4.686415505,5,4.894600782,4.890224219,0,5,7,3,4,0,0.369226785,2.070818176,7.893513471,14.17661451,7,6.093005277,3.90779229,0,3,0,1,0,0,-22.81447721,664.5215146,2
"6",12,34,0,7,0,0,16.00165516,4.920513967,1,4.792207737,4.390839837,0,0,11,2,0,0,0.533011447,0.687337923,4.746402142,14.29308865,0,5.942963404,5.188574939,0,3,0,1,0,1,-4.615264001,244.0889912,2
"7",12,34,0,7,0,0,16.00165516,4.920513967,1,4.792207737,4.390839837,0,0,11,2,0,0,0.533011447,0.687337923,4.746402142,14.29308865,0,5.942963404,5.188574939,0,3,0,1,0,1,-4.615264001,244.0889912,2
"8",12,35,0,6,0,0,15.99993732,4.917999189,0,4.408829644,4.374609667,0,0,10,2,0,0,0.5240343,0.685174361,4.159814256,13.7959881,0,5.787855511,4.98544751,0,3,0,1,0,1,-5.190865162,244.6898089,2
"9",12,35,0,6,0,0,15.99993732,4.917999189,0,4.408829644,4.374609667,0,0,10,2,0,0,0.5240343,0.685174361,4.159814256,13.7959881,0,5.787855511,4.98544751,0,3,0,1,0,1,-5.190865162,244.6898089,2
"10",12,89,3,6,0,2,18.99941796,3.728302868,4,5.175661693,5.085053017,0,4,9,3,6,0,0.280420331,1.110057177,5.790591665,15.71173698,7,5.784786259,3.181411917,0,2,0,0,0,0,-7.923275252,1092.241944,1
