naAromAtom,nAtom,nN,nO,nS,nF,nCl,BCUTw-1h,BCUTp-1l,BCUTp-1h,nBondsD,SpMax1_Bhs,SpMax2_Bhs,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C3SP3,C4SP3,SCH-7,SC-3,VC-3,SPC-4,MIC0,nAtomLAC,piPC6,R_TpiPCTPC,n5Ring,n6Ring,nFRing,nF9Ring,nF10Ring,nFG12Ring,nHeteroRing,n6HeteroRing,VE3_D,VR1_D,class_label
18,67,1,1,0,0,0,15.99492271,6.656434067,9.900787321000001,0,4.067311331,3.958867643,0,0,13,5,4,1,0,0.526807571,1.483163248,0.918921352,3.5214438460000004,9.43771274,2,6.220838647999999,6.373532756,0,5,1,0,1,0,1,1,-17.74310325,432.66750199999996,active
24,95,3,9,0,2,0,18.99942202,4.2352504810000005,10.96127989,5,4.962449672,4.854152966,0,5,18,6,2,1,0,0.46602583799999997,4.053483376,1.71050476,8.678031268,16.41664419,5,6.6072412279999995,5.225155704,0,4,0,0,0,0,0,0,-11.02794227,676.2295521000001,active
18,101,3,9,0,2,0,18.99942202,4.235268105,10.96184504,5,5.102219635,5.006018055,0,5,14,4,2,3,0,0.46602583799999997,4.053483376,1.9064091730000001,8.678031268,16.07884144,5,6.343550854,4.295697662,0,4,0,0,0,0,0,0,-11.02794227,676.2295521000001,active
18,101,3,9,0,2,0,18.99942202,4.235268105,10.96184504,5,5.102219635,5.006018055,0,5,14,4,2,3,0,0.46602583799999997,4.053483376,1.9064091730000001,8.678031268,16.07884144,5,6.343550854,4.295697662,0,4,0,0,0,0,0,0,-11.02794227,676.2295521000001,inactive
10,96,3,9,0,0,0,16.00300785,4.686415505,10.63594838,5,4.8946007819999995,4.890224218999999,0,5,7,3,4,4,0,0.369226785,3.680257252,2.070818176,7.893513471,14.17661451,7,6.0930052770000005,3.90779229,0,3,1,0,1,0,0,0,-22.81447721,664.5215146,inactive
12,34,0,7,0,0,0,16.00165516,4.920513967,10.02070306,1,4.792207737,4.390839837,0,0,11,2,0,0,0,0.533011447,1.9612093030000002,0.687337923,4.746402142,14.29308865,0,5.9429634039999994,5.1885749389999996,0,3,1,0,1,0,1,1,-4.615264001,244.0889912,inactive
12,34,0,7,0,0,0,16.00165516,4.920513967,10.02070306,1,4.792207737,4.390839837,0,0,11,2,0,0,0,0.533011447,1.9612093030000002,0.687337923,4.746402142,14.29308865,0,5.9429634039999994,5.1885749389999996,0,3,1,0,1,0,1,1,-4.615264001,244.0889912,inactive
12,35,0,6,0,0,0,15.99993732,4.917999189,9.940203383,0,4.408829644,4.374609667,0,0,10,2,0,0,0,0.5240343,1.836983036,0.685174361,4.159814256000001,13.795988099999999,0,5.787855511,4.98544751,0,3,1,0,1,0,1,1,-5.190865162,244.6898089,inactive
12,35,0,6,0,0,0,15.99993732,4.917999189,9.940203383,0,4.408829644,4.374609667,0,0,10,2,0,0,0,0.5240343,1.836983036,0.685174361,4.159814256000001,13.795988099999999,0,5.787855511,4.98544751,0,3,1,0,1,0,1,1,-5.190865162,244.6898089,inactive
12,89,3,6,0,2,0,18.99941796,3.728302868,11.11428211,4,5.175661693,5.085053017,0,4,9,3,6,1,0,0.280420331,2.9226129089999997,1.110057177,5.790591665,15.71173698,7,5.784786259,3.1814119169999997,0,2,0,0,0,0,0,0,-7.923275252000001,1092.2419439999999,active
