Molecular Weight,Number of Hydrogen Donors,Number of Hydrogen Acceptors,OWPC
999.0849999999999,13.0,13.0,-1.4355000000000018
893.0050000000001,12.0,12.0,-1.736100000000004
751.9880000000002,8.0,9.0,2.3535000000000066
737.8950000000003,8.0,8.0,1.962600000000004
828.0200000000002,8.0,8.0,3.5739000000000036
767.9870000000001,8.0,9.0,1.3690000000000073
717.7220000000002,7.0,7.0,4.319600000000001
767.965,8.0,8.0,2.843100000000007
894.1020000000001,10.0,11.0,0.4741000000000028
794.0030000000002,8.0,8.0,3.3773000000000053
794.0030000000002,8.0,8.0,3.3773000000000053
1668.9279999999997,23.0,24.0,-4.167099999999983
425.6160000000003,0.0,2.0,6.913500000000007
738.923,7.0,8.0,4.235000000000004
722.0060000000001,6.0,8.0,4.148800000000005
894.1020000000001,10.0,11.0,0.4741000000000028
809.9580000000002,9.0,9.0,2.196000000000006
735.9229999999999,8.0,8.0,2.5785000000000036
745.7760000000001,5.0,9.0,4.496400000000005
767.9650000000001,8.0,8.0,2.843100000000006
638.8060000000002,7.0,7.0,2.669000000000003
599.7480000000002,5.0,6.0,2.4520000000000017
596.7730000000001,6.0,7.0,1.4412000000000045
739.852,6.0,7.0,3.915700000000002
581.7580000000002,5.0,6.0,2.5040000000000022
596.7690000000002,6.0,6.0,2.0798000000000023
637.7,6.0,7.0,1.771200000000001
703.8720000000001,6.0,7.0,3.324500000000003
611.7840000000001,6.0,7.0,1.8649000000000024
624.8230000000002,6.0,6.0,3.0309000000000026
696.89,6.0,8.0,3.0072000000000045
597.7570000000002,6.0,7.0,1.4748000000000026
611.7840000000001,6.0,7.0,1.8649000000000024
613.7560000000002,7.0,8.0,0.4472000000000056
669.8639999999999,6.0,8.0,2.270000000000005
625.8110000000001,6.0,7.0,2.1109000000000027
625.8110000000001,6.0,7.0,2.2550000000000026
657.878,6.0,8.0,2.208000000000002
695.946,6.0,7.0,3.9173000000000044
624.8230000000002,6.0,6.0,3.0309000000000026
711.798,6.0,7.0,3.135500000000002
696.89,6.0,8.0,3.0072000000000045
757.011,6.0,9.0,3.8845000000000045
696.89,6.0,8.0,3.1513000000000044
718.8429999999998,6.0,8.0,3.006400000000002
712.8890000000001,6.0,9.0,2.387700000000006
682.863,6.0,8.0,2.761200000000004
696.89,6.0,8.0,3.0072000000000045
725.932,6.0,9.0,2.3029000000000055
710.917,6.0,8.0,3.397300000000005
757.011,6.0,9.0,3.7404000000000046
977.1230000000002,13.0,13.0,-1.0608000000000062
740.943,6.0,9.0,3.023800000000006
710.917,6.0,8.0,3.397300000000005
768.8499999999999,6.0,8.0,3.641700000000002
764.887,6.0,8.0,4.083800000000003
756.023,6.0,8.0,4.345400000000004
698.8620000000001,6.0,9.0,1.9976000000000056
711.905,6.0,9.0,1.9128000000000054
964.0840000000001,13.0,13.0,-2.231400000000007
818.0040000000001,10.0,11.0,-0.7486999999999968
832.0310000000001,10.0,11.0,-0.35859999999999626
746.9250000000002,9.0,10.0,-0.25339999999999074
1709.8239999999998,24.0,26.0,-6.655299999999974
934.1670000000001,10.0,11.0,1.3984000000000085
2094.265000000001,32.0,31.0,-11.072099999999912
2121.3790000000004,32.0,31.0,-10.027699999999898
2140.381,31.0,30.0,-8.913999999999922
936.03,13.0,13.0,-2.8675000000000086
1667.787,25.0,25.0,-7.226099999999973
834.969,11.0,11.0,-1.5810000000000057
2066.211000000001,32.0,31.0,-11.708199999999906
2142.309,32.0,31.0,-10.485399999999911
2132.274000000001,33.0,32.0,-11.762299999999895
2126.3320000000003,32.0,32.0,-10.974999999999902
1623.7779999999998,24.0,24.0,-6.680899999999984
2108.2920000000004,32.0,31.0,-10.681999999999906
892.0860000000002,9.0,11.0,0.32430000000000775
851.0770000000001,9.0,10.0,1.6055000000000097
2124.2470000000008,33.0,32.0,-11.863299999999901
942.1460000000002,10.0,11.0,1.0608000000000126
617.8100000000003,7.0,8.0,0.39700000000000596
2052.1840000000016,32.0,31.0,-12.096699999999904
896.0740000000002,11.0,12.0,-0.8011000000000026
735.8360000000001,10.0,10.0,-1.7218000000000016
928.119,10.0,11.0,0.6707000000000098
1667.787,25.0,25.0,-7.226099999999973
2050.256000000001,31.0,30.0,-10.525299999999907
866.0480000000001,10.0,11.0,-0.16199999999999487
546.7310000000002,6.0,7.0,0.8923000000000034
833.9590000000002,11.0,12.0,-1.929999999999998
2151.321000000001,34.0,32.0,-12.67449999999992
877.006,11.0,11.0,-1.4036000000000002
1651.8319999999997,24.0,24.0,-6.044799999999984
2092.3370000000004,31.0,30.0,-9.500699999999915
894.1020000000001,10.0,11.0,0.4741000000000028
2096.2370000000005,33.0,32.0,-12.347299999999898
836.0660000000001,9.0,10.0,0.6292000000000084
2106.364,31.0,30.0,-9.110599999999916
2064.283000000001,31.0,30.0,-10.136799999999912
1823.9760000000006,28.0,27.0,-8.687699999999946
783.9200000000002,8.0,9.0,1.6373000000000089
693.9520000000001,6.0,8.0,3.512700000000005
703.9440000000001,6.0,10.0,2.265700000000005
847.9630000000001,9.0,10.0,2.6014000000000053
834.7620000000001,9.0,9.0,1.5716000000000052
783.9200000000002,8.0,9.0,1.9347000000000074
619.8260000000002,7.0,9.0,1.7017000000000035
847.9630000000001,9.0,10.0,2.6014000000000053
755.8660000000002,9.0,9.0,0.8091000000000077
829.945,8.0,11.0,1.3440000000000105
805.9260000000002,9.0,9.0,1.9623000000000053
659.935,6.0,8.0,3.112600000000006
773.9910000000001,8.0,10.0,2.2666000000000066
815.965,8.0,8.0,2.985200000000006
775.9000000000003,8.0,8.0,2.5425000000000058
894.1020000000001,10.0,11.0,0.4741000000000028
694.94,6.0,9.0,2.9077000000000046
767.9870000000001,7.0,10.0,2.976100000000007
789.9270000000002,8.0,8.0,2.4714000000000054
861.99,9.0,10.0,2.3881000000000068
737.9610000000001,7.0,9.0,3.210900000000005
627.7350000000002,7.0,7.0,2.366200000000001
763.8860000000003,8.0,10.0,0.8089000000000091
781.9480000000002,8.0,8.0,2.5878000000000085
802.045,6.0,12.0,2.4434000000000093
689.917,7.0,9.0,2.1773000000000042
685.9729999999998,6.0,8.0,3.6452000000000044
737.961,6.0,10.0,3.241400000000005
591.7050000000003,6.0,6.0,3.310500000000001
739.8670000000002,8.0,8.0,1.318200000000008
797.9470000000002,8.0,9.0,2.568200000000008
737.9610000000001,7.0,9.0,3.210900000000005
751.824,5.0,9.0,3.5316000000000045
775.8470000000002,8.0,8.0,1.596400000000006
769.8930000000003,8.0,9.0,1.463200000000009
751.824,5.0,9.0,3.5316000000000045
675.8900000000001,7.0,9.0,1.7872000000000048
620.5410000000003,6.0,6.0,2.9198000000000004
655.789,5.0,9.0,2.5430000000000046
615.7290000000002,9.0,9.0,-2.412499999999998
516.5960000000003,8.0,8.0,-2.553299999999993
633.7870000000003,7.0,7.0,1.4792000000000052
964.0840000000001,13.0,13.0,-2.231400000000007
741.9520000000002,7.0,8.0,2.7991000000000064
693.9080000000001,7.0,8.0,2.212400000000005
703.8780000000002,7.0,8.0,2.0284000000000053
647.8140000000002,7.0,7.0,2.013400000000007
619.7600000000002,7.0,7.0,1.0891000000000053
693.9080000000001,7.0,8.0,2.212400000000005
693.9080000000002,7.0,8.0,2.356500000000006
995.207,12.0,13.0,0.036399999999993715
647.8140000000003,7.0,7.0,1.8693000000000048
995.207,12.0,13.0,0.036399999999999044
707.9350000000001,7.0,8.0,2.746600000000006
815.923,12.0,12.0,-3.558200000000004
619.7600000000002,7.0,7.0,1.2332000000000052
633.7870000000003,7.0,7.0,1.4792000000000052
757.9510000000002,8.0,9.0,2.504700000000005
834.969,11.0,11.0,-1.5810000000000057
735.8360000000001,10.0,10.0,-1.7218000000000016
633.7870000000003,7.0,7.0,1.4792000000000052
633.7870000000003,7.0,7.0,1.4792000000000052
693.9080000000001,7.0,8.0,2.212400000000005
681.8310000000002,7.0,7.0,2.065900000000006
921.0590000000001,12.0,12.0,-1.086900000000005
697.8300000000003,8.0,8.0,1.771500000000005
981.1800000000001,12.0,13.0,-0.35370000000000146
686.8080000000001,10.0,10.0,-2.9078
633.7870000000003,7.0,7.0,1.6233000000000049
458.37500000000017,8.0,11.0,2.233199999999999
304.25399999999996,5.0,7.0,1.1862999999999995
852.8960000000001,13.0,12.0,-2.7601999999999993
306.27000000000004,6.0,7.0,1.2517
306.27000000000004,6.0,7.0,1.2517
458.37500000000017,8.0,11.0,2.233199999999999
442.37600000000015,7.0,10.0,2.5276000000000005
700.7460000000002,10.0,9.0,0.37650000000000794
304.25399999999996,5.0,7.0,1.1862999999999995
656.7370000000002,9.0,8.0,0.678300000000007
290.271,5.0,6.0,1.5460999999999998
650.4540000000004,11.0,19.0,-0.3649000000000006
699.7580000000002,9.0,9.0,0.9737000000000069
442.37600000000015,7.0,10.0,2.5276000000000005
290.271,5.0,6.0,1.5460999999999998
940.6810000000005,15.0,26.0,1.6861000000000008
716.921,7.0,8.0,2.287400000000006
893.0050000000001,12.0,12.0,-1.736100000000004
880.9060000000001,13.0,13.0,-3.8270000000000035
684.7470000000002,9.0,9.0,-0.3884999999999903
728.7560000000002,10.0,10.0,-0.6902999999999893
708.7770000000003,9.0,11.0,-0.6461999999999914
752.7860000000003,10.0,12.0,-0.9479999999999904
657.799,4.0,5.0,5.352500000000005
617.734,4.0,5.0,4.716400000000004
607.7420000000002,3.0,4.0,5.661700000000006
589.6800000000002,4.0,5.0,3.936200000000002
659.815,3.0,6.0,5.044000000000005
893.0050000000001,12.0,12.0,-1.736100000000004
616.7130000000003,9.0,9.0,-1.813199999999994
919.0430000000001,12.0,12.0,-1.3460000000000034
771.8660000000002,11.0,11.0,-2.0735
642.7510000000003,9.0,9.0,-1.4230999999999934
614.8500000000004,6.0,7.0,2.308600000000003
641.9200000000001,6.0,7.0,2.5042000000000044
669.974,6.0,7.0,3.140300000000005
570.8410000000002,5.0,6.0,2.999500000000002
683.957,6.0,8.0,2.3193000000000046
684.989,6.0,8.0,1.9018000000000068
712.999,6.0,8.0,1.8185000000000064
698.972,6.0,8.0,1.5709000000000075
671.946,6.0,8.0,2.1291000000000055
586.7960000000004,6.0,7.0,1.672500000000003
600.7790000000003,6.0,8.0,0.8515000000000044
598.8070000000001,6.0,7.0,1.8386000000000027
561.527,3.0,5.0,4.886300000000003
322.4150000000001,2.0,6.0,3.4967000000000006
418.9250000000002,3.0,4.0,4.206400000000003
506.4470000000001,3.0,4.0,5.200500000000004
696.89,6.0,8.0,3.0072000000000045
688.9110000000002,5.0,8.0,3.4410000000000043
674.884,5.0,8.0,3.050900000000004
545.7250000000003,6.0,6.0,1.5017000000000043
646.83,6.0,8.0,2.4627000000000034
645.8420000000001,6.0,7.0,3.067700000000004
631.815,6.0,7.0,2.8217000000000034
501.6490000000003,3.0,6.0,2.3751000000000007
497.6610000000002,3.0,5.0,2.959600000000002
527.6870000000004,3.0,6.0,2.909300000000001
497.6610000000002,3.0,5.0,2.959600000000002
488.61000000000024,4.0,6.0,0.8959999999999995
499.6770000000002,3.0,5.0,2.8790000000000013
541.7140000000004,3.0,6.0,3.299400000000001
521.6830000000002,3.0,5.0,3.127200000000002
533.6940000000002,3.0,5.0,3.597900000000002
537.6820000000002,4.0,6.0,2.6181
535.6660000000003,3.0,6.0,2.7674000000000003
551.7090000000003,4.0,6.0,2.812500000000001
549.6930000000003,3.0,6.0,2.961800000000002
487.62200000000024,3.0,6.0,2.1291
510.43200000000024,1.0,4.0,5.911700000000006
525.3250000000003,3.0,5.0,4.292500000000002
511.42000000000024,1.0,5.0,5.3067000000000055
574.4780000000003,1.0,7.0,4.380200000000004
542.3080000000003,3.0,6.0,3.8507000000000016
528.4030000000001,1.0,6.0,4.864900000000004
618.5310000000001,1.0,8.0,4.317700000000003
586.3610000000004,3.0,7.0,3.7882000000000016
572.4560000000004,1.0,7.0,4.802400000000004
572.3340000000004,3.0,7.0,3.859300000000003
548.4370000000002,1.0,6.0,5.138600000000006
558.4290000000003,1.0,7.0,4.873500000000004
542.3080000000003,3.0,6.0,3.8507000000000016
518.4110000000003,1.0,5.0,5.130000000000004
528.4030000000001,1.0,6.0,4.864900000000005
524.3370000000002,3.0,4.0,4.897500000000003
500.4400000000002,1.0,3.0,6.176800000000005
747.8179999999996,9.0,13.0,-0.062499999999992395
699.7580000000002,9.0,9.0,0.9737000000000069
752.7860000000003,10.0,12.0,-0.9479999999999904
708.7770000000003,9.0,11.0,-0.6461999999999914
764.8700000000001,9.0,14.0,-0.0056999999999932105
748.8020000000001,9.0,14.0,-0.5887999999999922
800.8459999999998,10.0,16.0,-1.98419999999999
732.807,9.0,13.0,-1.164299999999991
570.8000000000003,3.0,5.0,3.762400000000002
570.8000000000003,3.0,5.0,3.762400000000002
687.8380000000001,4.0,6.0,4.348100000000003
695.814,4.0,7.0,3.107300000000002
695.814,4.0,7.0,3.107300000000002
687.8380000000001,4.0,6.0,4.348100000000003
637.778,4.0,6.0,3.3103000000000016
637.778,4.0,6.0,3.3103000000000016
625.7670000000002,4.0,6.0,3.1678000000000024
625.7670000000002,4.0,6.0,3.1678000000000024
526.6340000000002,3.0,5.0,3.0123000000000024
527.6180000000002,3.0,5.0,3.0459000000000014
745.9400000000002,4.0,8.0,3.2187000000000046
745.9400000000002,4.0,8.0,3.2187000000000046
683.8470000000001,5.0,7.0,3.166400000000003
683.8470000000001,5.0,7.0,3.166400000000003
681.8750000000001,4.0,6.0,4.584100000000004
681.8750000000001,4.0,6.0,4.584100000000004
667.8480000000001,4.0,6.0,4.194000000000003
667.8480000000001,4.0,6.0,4.194000000000003
653.8210000000001,4.0,6.0,3.8039000000000023
653.8210000000001,4.0,6.0,3.8039000000000023
639.7940000000001,4.0,6.0,3.4154000000000027
639.7940000000001,4.0,6.0,3.4154000000000027
496.71800000000025,5.0,6.0,1.730700000000002
496.71800000000025,5.0,6.0,1.730700000000002
496.71800000000025,5.0,6.0,1.588200000000002
496.71800000000025,5.0,6.0,1.588200000000002
514.7580000000003,5.0,7.0,1.4361000000000017
514.7580000000003,5.0,7.0,1.4361000000000017
514.7580000000003,5.0,7.0,1.2936000000000019
514.7580000000003,5.0,7.0,1.2936000000000019
673.9430000000001,6.0,9.0,2.3496000000000032
673.9430000000001,6.0,9.0,2.3496000000000032
500.6620000000002,5.0,7.0,0.10360000000000374
566.7900000000002,5.0,7.0,1.9642000000000013
558.7420000000002,5.0,8.0,1.4922000000000022
542.6740000000003,5.0,8.0,0.7756000000000038
