,HD,HA,logP,MW,sum,bioactivity_class,molecule_chembl_id,canonical_smiles,Molecular Weight,Number of Hydrogen Donors,Number of Hydrogen Acceptors,OWPC,pIC50
0,0,0,0,1,1,active,CHEMBL142715,c1ccc(-c2ccc(COc3ccc4c(c3)CCC(CCN3CCCCC3)C4)cc2)cc1,425.6160000000003,0.0,2.0,6.913500000000008,6.455931955649724
1,0,0,1,0,1,active,CHEMBL143687,COC(=O)c1cc(NC(=O)[C@@H](NC(=O)C[C@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)C(O)c2ccccc2-c2ccccc2)C(C)C)cc(C(=O)OC)c1,745.7760000000003,5.0,9.0,4.496400000000005,6.920818753952375
2,0,0,1,0,1,min effect,CHEMBL82270,CC(C)[C@H](F)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,599.7480000000003,5.0,6.0,2.4520000000000017,5.946921556516579
3,0,0,1,0,1,min effect,CHEMBL84835,CC(C)CC(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,581.7580000000003,5.0,6.0,2.5040000000000022,5.7594507517174005
4,0,0,1,0,1,active,CHEMBL296166,COC(=O)[C@@H]1CC(NC(=O)[C@H](NC(=O)C[C@H](O)[C@@H](Cc2cc(F)cc(F)c2)NC(=O)C(O)c2ccccc2-c2ccccc2)C(C)C)C[C@H](C(=O)OC)C1,751.824,5.0,9.0,3.5316000000000045,6.920818753952375
5,0,0,1,0,1,inactive,CHEMBL296166,COC(=O)[C@@H]1CC(NC(=O)[C@H](NC(=O)C[C@H](O)[C@@H](Cc2cc(F)cc(F)c2)NC(=O)C(O)c2ccccc2-c2ccccc2)C(C)C)C[C@H](C(=O)OC)C1,751.824,5.0,9.0,3.5316000000000045,5.0
6,0,0,1,0,1,inactive,CHEMBL53668,COC(=O)[C@@H]1CC(NC(=O)[C@@H](NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)C(O)c2cccc3ccccc23)C(C)C)C[C@H](C(=O)OC)C1,655.789,5.0,9.0,2.5430000000000046,3.8538719643217614
7,0,0,0,0,0,inactive,CHEMBL66,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)c(O)c2)[C@H]1O,304.254,5.0,7.0,1.1862999999999997,4.455931955649723
8,1,0,0,0,1,min effect,CHEMBL130415,Oc1cc(O)c2c(c1)O[C@@H](c1cc(O)c(O)c(O)c1)[C@@H](O)C2,306.2700000000001,6.0,7.0,1.2517,5.619788758288393
9,1,0,0,0,1,min effect,CHEMBL125743,Oc1cc(O)c2c(c1)O[C@H](c1cc(O)c(O)c(O)c1)[C@@H](O)C2,306.2700000000001,6.0,7.0,1.2517,5.602059991327962
10,1,0,0,0,1,min effect,CHEMBL129451,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@H]1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1,442.37600000000015,7.0,10.0,2.5276000000000005,5.221848749616356
11,0,0,0,0,0,inactive,CHEMBL66,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)c(O)c2)[C@H]1O,304.254,5.0,7.0,1.1862999999999997,4.5228787452803365
